"TOA5","CR1000_test","CR1000","E2499","CR1000.Std.29","CPU:PARx24.CR1","55683","Table1"
"TIMESTAMP","RECORD","PAR_mV_2(1)","PAR_mV_2(2)","PAR_mV_2(3)","PAR_mV_2(4)","PAR_mV_2(5)","PAR_mV_2(6)","PAR_mV_2(7)","PAR_mV_2(8)","PAR_mV_2(9)","PAR_mV_2(10)","PAR_mV_2(11)","PAR_mV_2(12)","PAR_mV_2(13)","PAR_mV_2(14)","PAR_mV_2(15)","PAR_mV_2(16)","PAR_mV_2(17)","PAR_mV_2(18)","PAR_mV_2(19)","PAR_mV_2(20)","PAR_mV_2(21)","PAR_mV_2(22)","PAR_mV_2(23)","PAR_mV_2(24)","Licor(1)","Licor(2)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","umols-1m-2","umols-1m-2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-04-27 09:08:00",0,4.774,4.597,4.738,4.86,4.648,6.821,22.77,22.66,22.63,20.89,22.91,22.64,21.61,21.45,23.37,22.17,23.31,22.89,21.6,23.14,22.83,22.63,23.15,22.67,959,"NAN"
"2017-04-27 09:08:30",1,4.251,3.907,3.81,3.673,3.03,2.522,2.429,2.078,1.818,1.755,3.732,2.744,13.49,19.48,2.143,2.175,2.393,2.6,2.692,3.397,3.769,3.981,4.399,4.427,1036,213.3
"2017-04-27 09:09:00",2,22.63,22.04,22.42,23.35,22.63,20.76,23.36,23.29,23.18,21.26,23.34,23,21.88,21.73,23.57,22.23,23.46,23.1,21.77,23.54,23.24,23,23.48,22.94,804,"NAN"
"2017-04-27 09:09:30",3,22.83,22.33,22.52,23.56,22.8,20.83,23.42,23.3,23.24,21.3,23.3,22.99,21.91,21.67,23.48,22.22,23.51,23.11,21.82,23.54,23.3,22.99,23.6,23.08,1131,1124
"2017-04-27 09:10:00",4,21.71,20.94,4.398,4.342,3.948,3.575,3.728,3.314,2.968,2.415,2.371,2.066,1.958,1.757,3.27,3.354,3.484,3.748,3.76,4.301,4.45,4.539,7.323,21.46,1038,144.7
"2017-04-27 09:10:30",5,1.859,1.928,2.008,2.077,1.773,1.378,0.451,10.09,0.151,1.248,2.087,3.362,22.12,21.76,6.382,1.236,1.095,0.553,0.753,1.044,0.907,1.08,1.26,1.339,1073,1095
"2017-04-27 09:11:00",6,22.91,22.5,22.77,23.74,22.95,21.03,23.67,23.49,23.47,21.58,23.62,23.24,22.11,21.77,23.79,22.55,23.8,23.42,22.07,23.79,23.58,23.35,23.89,23.31,1082,1164
"2017-04-27 09:11:30",7,24.09,23.42,23.3,24.27,23.74,21.93,24.66,24.48,24.48,22.32,24.44,23.99,22.85,22.53,24.28,22.92,24.19,23.83,22.4,24.22,24.1,23.82,24.46,23.89,1106,1184
"2017-04-27 09:12:00",8,23.66,23.32,23.62,24.63,23.8,21.93,24.73,24.63,24.48,22.49,24.67,24.28,23.16,22.93,24.86,23.6,24.81,24.46,23.02,24.8,24.64,24.24,24.9,24.18,1158,1203
"2017-04-27 09:12:30",9,23.85,23.52,23.72,24.8,23.94,22.05,24.82,24.76,24.73,22.67,24.69,24.4,23.23,22.94,24.85,23.58,24.88,24.55,23.08,24.86,24.64,24.28,24.9,24.21,1130,1211
"2017-04-27 09:13:00",10,24.47,24,24.37,25.37,24.53,22.6,25.45,25.27,25.25,23.21,25.36,24.99,23.8,23.53,25.49,24.17,25.38,25.08,23.55,25.37,25.14,24.81,25.43,24.74,1298,1183
"2017-04-27 09:13:30",11,24.45,24.12,24.43,25.44,24.63,22.71,25.49,25.37,25.38,23.29,25.44,25.1,23.93,23.59,25.58,24.23,25.43,25.11,23.63,25.44,25.26,24.88,25.49,24.86,1159,1242
"2017-04-27 09:14:00",12,24.5,24.12,24.44,25.46,24.61,22.71,25.56,25.42,25.48,23.36,25.51,25.14,23.99,23.71,25.59,24.29,25.5,25.16,23.66,25.57,25.32,24.95,25.56,24.87,1339,1184
"2017-04-27 09:14:30",13,24.6,24.14,24.4,25.43,24.62,22.69,25.54,25.41,25.44,23.36,25.48,25.06,23.94,23.67,25.61,24.24,25.46,25.19,23.66,25.57,25.3,24.93,25.57,24.86,1285,1208
"2017-04-27 09:15:00",14,24.58,24.1,24.45,25.49,24.67,22.74,25.61,25.5,25.46,23.39,25.55,25.18,23.99,23.68,25.67,24.29,25.51,25.2,23.7,25.57,25.38,25,25.64,24.99,1165,1238
"2017-04-27 09:15:30",15,24.67,24.3,24.65,25.66,24.8,22.87,25.7,25.6,25.55,23.44,25.63,25.22,24.05,23.79,25.75,24.41,25.66,25.36,23.79,25.7,25.53,25.14,25.73,25.04,"NAN",1216
"2017-04-27 09:16:00",16,24.8,24.41,24.73,25.76,24.85,22.91,25.87,25.65,25.63,23.53,25.77,25.27,24.16,23.77,25.84,24.5,25.73,25.36,23.87,25.78,25.6,25.19,25.8,25.11,1172,1253
"2017-04-27 09:16:30",17,24.89,24.37,24.74,25.82,24.93,23.01,25.84,25.67,25.75,23.57,25.78,25.37,24.26,23.94,25.85,24.53,25.76,25.51,23.95,25.77,25.65,25.19,25.81,25.16,"NAN",1218
"2017-04-27 09:17:00",18,24.84,24.44,24.78,25.87,24.98,23.03,25.91,25.76,25.78,23.6,25.79,25.39,24.26,24.01,25.93,24.62,25.89,25.52,23.97,25.89,25.74,25.31,25.9,25.21,1191,1249
"2017-04-27 09:17:30",19,24.89,24.45,24.78,25.84,24.94,23.1,25.92,25.77,25.72,23.58,25.81,25.45,24.31,23.94,25.95,24.65,25.85,25.5,23.95,25.86,25.66,25.33,25.92,25.27,"NAN",1226
"2017-04-27 09:18:00",20,24.91,24.44,24.85,25.86,24.99,23.06,25.9,25.82,25.69,23.53,25.86,25.43,24.29,23.99,25.92,24.66,25.96,25.6,24,25.87,25.68,25.3,25.98,25.3,1251,1227
"2017-04-27 09:18:30",21,24.97,24.56,24.94,25.88,25,23.12,25.99,25.88,25.84,23.65,25.89,25.52,24.34,24.08,26.05,24.68,25.96,25.59,24.08,25.98,25.74,25.43,26.05,25.35,1313,1209
