"TOA5","CR3000_PAR","CR3000","11518","CR3000.Std.29","CPU:62+2PAR.CR3","21119","Table1"
"TIMESTAMP","RECORD","PAR_Licor_1","PAR_mV(1)","PAR_mV(2)","PAR_mV(3)","PAR_mV(4)","PAR_mV(5)","PAR_mV(6)","PAR_mV(7)","PAR_mV(8)","PAR_mV(9)","PAR_mV(10)","PAR_mV(11)","PAR_mV(12)","PAR_mV(13)","PAR_mV(14)","PAR_mV(15)","PAR_mV(16)","PAR_mV(17)","PAR_mV(18)","PAR_mV(19)","PAR_mV(20)","PAR_mV(21)","PAR_mV(22)","PAR_mV(23)","PAR_mV(24)","PAR_mV(25)","PAR_mV(26)","PAR_mV(27)","PAR_mV(28)","PAR_mV(29)","PAR_mV(30)","PAR_mV(31)","PAR_Licor_2","PAR_mV_2(1)","PAR_mV_2(2)","PAR_mV_2(3)","PAR_mV_2(4)","PAR_mV_2(5)","PAR_mV_2(6)","PAR_mV_2(7)","PAR_mV_2(8)","PAR_mV_2(9)","PAR_mV_2(10)","PAR_mV_2(11)","PAR_mV_2(12)","PAR_mV_2(13)","PAR_mV_2(14)","PAR_mV_2(15)","PAR_mV_2(16)","PAR_mV_2(17)","PAR_mV_2(18)","PAR_mV_2(19)","PAR_mV_2(20)","PAR_mV_2(21)","PAR_mV_2(22)","PAR_mV_2(23)","PAR_mV_2(24)","PAR_mV_2(25)","PAR_mV_2(26)","PAR_mV_2(27)","PAR_mV_2(28)","PAR_mV_2(29)","PAR_mV_2(30)","PAR_mV_2(31)"
"TS","RN","umols-1m-2","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","umols-1m-2","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-07-17 10:14:00",1,7999,5.543,5.708,5.625,5.46,5.791,5.543,5.46,5.791,5.956,5.377,5.708,5.46,5.708,5.294,5.046,6.039,5.956,5.625,5.708,5.212,5.625,5.212,5.874,5.212,5.46,5.543,5.212,5.46,5.625,5.791,5.543,16.55,4.964,5.543,5.625,5.874,5.625,5.625,4.964,4.964,5.212,5.543,4.964,5.129,4.881,4.798,4.55,4.715,4.715,4.881,4.881,5.046,4.881,5.46,5.377,5.46,4.881,5.377,5.625,5.46,5.543,4.881,4.881
"2017-07-17 10:14:30",2,7999,4.964,5.377,5.212,4.964,5.129,4.798,4.55,4.633,4.55,3.971,3.971,3.392,2.978,2.316,3.971,5.212,5.625,5.294,5.294,4.715,4.964,4.55,4.964,4.302,4.384,4.384,3.971,3.805,4.798,5.129,5.046,16.55,5.212,5.708,5.874,6.204,5.874,5.956,5.294,5.294,5.543,5.956,4.633,4.219,3.64,2.978,2.482,2.565,2.978,3.309,3.64,4.136,4.136,5.625,5.543,5.708,5.046,5.625,5.874,5.791,5.791,5.046,4.881
"2017-07-17 10:15:00",3,7999,4.467,5.543,5.377,5.212,5.46,5.212,4.963,5.377,5.377,4.715,4.963,4.55,4.55,4.219,3.309,4.55,5.791,5.543,5.625,5.046,5.377,4.963,5.46,4.798,5.046,5.046,4.55,4.467,4.55,4.963,4.881,16.54,5.046,5.543,5.625,5.873,5.543,5.46,4.798,4.715,4.715,4.881,3.061,3.309,3.474,3.64,3.64,3.805,3.64,3.64,3.474,3.557,3.309,5.046,5.046,5.212,4.715,5.294,5.625,5.543,5.543,4.963,4.963
"2017-07-17 10:15:30",4,33.09,5.377,5.543,5.543,5.294,5.708,5.377,5.294,5.708,5.873,5.294,5.625,5.377,5.708,5.625,4.963,6.204,6.039,5.708,5.791,5.212,5.625,5.377,5.956,5.377,5.625,5.791,5.377,5.708,5.956,6.204,5.956,16.54,5.046,5.543,5.625,5.873,5.46,5.543,4.798,4.715,4.881,5.046,3.971,3.971,3.805,3.805,3.64,3.64,3.64,3.723,3.64,3.805,3.805,4.798,4.881,5.046,4.55,5.129,5.46,5.377,5.46,4.881,4.633
"2017-07-17 10:16:00",5,33.09,6.37,6.204,6.204,6.122,6.452,6.204,6.039,6.535,6.701,6.039,6.535,6.204,6.535,6.204,4.633,6.866,6.701,6.37,6.535,5.873,6.204,5.956,6.701,5.956,6.287,6.37,6.039,6.204,4.136,6.37,6.287,33.09,5.543,5.956,6.039,6.122,5.708,5.625,4.881,4.715,4.798,4.881,3.888,4.053,4.136,4.136,3.971,4.136,4.136,4.136,3.971,4.136,3.971,4.715,4.798,5.129,4.715,5.377,5.791,5.791,5.873,5.294,5.212
"2017-07-17 10:16:30",6,33.09,6.866,6.866,6.783,6.618,7.032,6.701,6.535,7.032,7.197,6.535,7.032,6.618,7.032,6.701,5.046,7.362,7.28,6.949,7.032,6.37,6.866,6.37,7.197,6.37,6.701,6.866,6.452,6.701,4.384,6.866,6.866,16.54,6.122,6.866,6.866,7.197,6.866,6.866,6.039,6.039,6.204,6.535,3.061,2.813,2.482,2.316,1.985,2.068,2.647,2.813,2.813,2.978,3.144,6.37,6.204,6.535,5.791,6.452,6.866,6.701,6.701,6.039,5.873
"2017-07-17 10:17:00",7,33.09,7.032,6.535,6.452,6.287,6.701,6.452,6.287,6.866,6.949,6.37,6.866,6.535,6.701,6.37,4.881,7.032,7.362,7.032,7.114,6.452,6.866,6.535,7.28,6.535,6.866,7.032,6.535,6.866,4.219,6.535,6.37,33.09,6.618,7.197,7.362,7.693,7.362,7.445,6.618,6.701,7.114,7.528,7.362,7.528,7.197,7.032,6.701,6.204,6.866,7.032,7.032,7.362,7.197,7.362,7.114,7.28,6.452,7.114,7.362,7.197,7.197,6.37,6.204
"2017-07-17 10:17:30",8,33.09,3.144,7.362,7.28,7.032,7.528,7.114,6.949,7.445,7.528,6.866,7.197,6.866,7.032,5.791,4.384,4.219,7.859,7.528,7.528,6.783,7.197,6.701,7.528,6.618,6.949,6.949,6.452,0.993,1.324,2.978,2.73,33.09,6.866,7.445,7.693,8.02,7.693,7.693,6.866,6.949,7.362,7.776,7.528,7.776,7.445,7.362,6.949,6.535,7.032,7.197,7.28,7.528,7.362,7.528,7.28,7.445,6.535,7.197,7.445,7.197,7.197,6.287,6.039
